id;lugar_infr;utm_x;utm_y
385;CRTA M-603 N6 ACERA IMPARES;442483.96;4484961.17
386;M607PK12.875 ENT C1;441953.98;4485220.02
387;C NUESTRA SRA DE VALVERDE 180;441922.65;4484000.08
388;AV MONASTERIO ESCORIAL 75 C1;441047.5;4484245.37
389;AV MONASTERIO ESCORIAL 75 C2;441047.5;4484245.37
390;AV MONTECARMELO 6 C1;440844.49;4483934.6
391;AV MONTECARMELO 6 C2;440844.49;4483934.6
392;AV MONASTERIO DE SILOS 22B C1;440279.83;4483873.82
393;AV MONASTERIO DE SILOS 22B C2;440279.83;4483873.82
394;AV VENTISQUERO D LA CONDESA 42;439203.2;4482845.9
395;AV CARDENAL HERRERA ORIA 205;439414.94;4481605.77
396;AV CARDENAL HERRERA ORIA 204;439502.05;4481643.59
397;C CARDENAL HERRERA ORIA 425;436833.57;4480790.68
398;CMNO DEL BARRIAL 47;432758.22;4479357.2
399;C DEL ARROYO DE POZUELO 8;434581.2;4478155.25
400;A6 PK7.300 ENT C1;436331.1;4479023.24
401;A6 PK7.300 ENT C2;436331.1;4479023.24
402;AV VENTISQUERO D LA CONDESA 45;439058.11;4483001.27
403;C DEL ARROYO DEL MONTE 133 C1;438989.44;4483007.72
404;C DEL ARROYO DEL MONTE 133 C2;438989.44;4483007.72
405;COSTA BRAVA - VENT CONDESA;439074.38;4483042.66
406;AV MONASTERIO DE SILOS 2 C1;439074.38;4483042.66
407;AV MONASTERIO DE SILOS 2 C2;439074.38;4483042.66
408;CRTA BOADILLA DEL MONTE 75;434161.44;4472352.95
409;CRTA M502 CON ARENAS S PEDRO;434284.03;4472104.77
410;C YEBENES - SEPULVEDA IMPAR C1;435709.87;4472284.8
411;C YEBENES - SEPULVEDA IMPAR C2;435709.87;4472284.8
412;C YEBENES - VALMOJADO PARES C1;435702.53;4472279.42
413;C YEBENES - VALMOJADO PARES C2;435702.53;4472279.42
414;C ALHAMBRA 51;436876.1;4472069.53
415;C ALHAMBRA 80;436867.9;4472063.05
416;C VIA CARPETANA 55;437615.72;4472218.75
417;C VIA CARPETANA 170;437609.27;4472218.92
418;AV DE LOS POBLADOS 43 C1;435494.82;4470676.26
419;AV DE LOS POBLADOS 43 C2;435494.82;4470676.26
420;AV DE LOS POBLADOS 66 C1;435485.99;4470676.11
421;AV DE LOS POBLADOS 66 C2;435485.99;4470676.11
422;C DE LA OCA 43;437405.59;4471232.54
423;C DE LA OCA 52;437421.78;4471240.18
424;C GENERAL RICARDOS 74 C1;438665.65;4471743.31
425;C GENERAL RICARDOS 74 C2;438665.65;4471743.31
426;C GENERAL RICARDOS 83 C1;438647.12;4471720.26
427;C GENERAL RICARDOS 83 C2;438647.12;4471720.26
428;C ANTONIO LOPEZ 42;439625.35;4471916.36
429;C ANTONIO LOPEZ 43;439643.9;4471912.1
430;AV DE OPORTO 53;438223.71;4470888.3
431;A5 PK9.400 ENT C1;432594.15;4469855.64
432;A5 PK9.400 ENT C2;432594.15;4469855.64
433;CRTA BARRIO DE LA FORTUNA 33;433930.04;4468411.77
434;AV DE LA AVIACION 32;434553.41;4469545.02
435;AV DE LA AVIACION 109;434588.06;4469546.39
436;C EUGENIA DE MONTIJO - D BOSCO;436255.67;4469717.76
437;C EUGENIA DE MONTIJO 87;436259.52;4469691.31
438;AV CARABANCHEL ALTO 51 C1;435998.44;4468194.05
439;AV CARABANCHEL ALTO 51 C2;435998.44;4468194.05
440;C VIA LUSITANA M-40 INT C1;436821.3;4468269
441;C VIA LUSITANA M-40 INT C2;436821.3;4468269
442;C VIA LUSITANA 68;438282.84;4470130.19
443;C VIA LUSITANA 68 ACERA IMPAR;438301.97;4470123.27
444;AV DE CORDOBA 17;440745.19;4470675.49
445;AV DE CORDOBA 16;440722.87;4470665.34
446;A42PK5.750 ENT C1;438863.81;4469061
447;A42PK5.750 ENT C2;438863.81;4469061
448;AV DE LOS POBLADOS 146;439955.47;4469281.86
449;AV DE LOS POBLADOS 169;439955.22;4469292.19
450;AV DE ANDALUCIA 19 C1;441073.42;4468726.53
451;AV DE ANDALUCIA 19 C2;441073.42;4468726.53
452;AV D ANDALUCIA 50 ACERA IMP C1;441115.82;4468156.18
453;AV D ANDALUCIA 50 ACERA IMP C2;441115.82;4468156.18
454;AV DE ANDALUCIA 50 C1;441090;4468177.59
455;AV DE ANDALUCIA 50 C2;441090;4468177.59
456;AV DE LOS ROSALES 38;441936.07;4468098.85
457;AV DE LOS ROSALES 35;441883.63;4468279.19
458;C SAN JENARO 2;440200.76;4466701.69
459;C SAN JENARO 4 ACERA IMPARES;440216.92;4466682.47
460;AV REAL DE PINTO 115;439280.63;4464704.31
461;C DE LA RESINA 20;440490.23;4465289.07
462;AV ANDALUCIA 71 C1;441167.21;4465901.49
463;AV ANDALUCIA 71 C2;441167.21;4465901.49
464;C HNOS GARCIA NOBLEJAS (PRUEBAS);446405.09;4475588.41
