año;municipio_codigo;municipio_nombre;entidad_codigo;entidad_nombre;fecha_festivo
2025;056;Fresnedillas de la Oliva;00;Fresnedillas de la Oliva;2025-08-25
2025;057;Fresno de Torote;00;Fresno de Torote;2025-02-28
2025;057;Fresno de Torote;00;Fresno de Torote;2025-08-18
2025;058;Fuenlabrada;00;Fuenlabrada;2025-09-15
2025;058;Fuenlabrada;00;Fuenlabrada;2025-12-26
2025;059;Fuente el Saz de Jarama;00;Fuente el Saz de Jarama;2025-09-06
2025;059;Fuente el Saz de Jarama;00;Fuente el Saz de Jarama;2025-09-09
2025;060;Fuentidueña de Tajo;00;Fuentidueña de Tajo;2025-09-15
2025;060;Fuentidueña de Tajo;00;Fuentidueña de Tajo;2025-09-16
2025;061;Galapagar;00;Galapagar;2025-05-15
2025;061;Galapagar;00;Galapagar;2025-09-15
2025;062;Garganta de los Montes;00;Garganta de los Montes;2025-05-15
2025;062;Garganta de los Montes;00;Garganta de los Montes;2025-10-06
2025;063;Gargantilla del Lozoya y Pinilla de Buitrago;00;Gargantilla del Lozoya y Pinilla de Buitrago;2025-03-21
2025;063;Gargantilla del Lozoya y Pinilla de Buitrago;00;Gargantilla del Lozoya y Pinilla de Buitrago;2025-08-25
2025;064;Gascones;00;Gascones;2025-08-04
2025;064;Gascones;00;Gascones;2025-10-06
2025;065;Getafe;00;Getafe;2025-05-29
2025;065;Getafe;00;Getafe;2025-06-09
2025;066;Griñón;00;Griñón;2025-06-17
2025;066;Griñón;00;Griñón;2025-08-14
2025;067;Guadalix de la Sierra;00;Guadalix de la Sierra;2025-05-15
2025;067;Guadalix de la Sierra;00;Guadalix de la Sierra;2025-09-08
2025;068;Guadarrama;00;Guadarrama;2025-09-29
2025;068;Guadarrama;00;Guadarrama;2025-10-04
2025;070;Horcajo de la Sierra-Aoslos;00;Horcajo de la Sierra-Aoslos;2025-05-15
2025;070;Horcajo de la Sierra-Aoslos;00;Horcajo de la Sierra-Aoslos;2025-08-18
2025;071;Horcajuelo de la Sierra;00;Horcajuelo de la Sierra;2025-06-13
2025;071;Horcajuelo de la Sierra;00;Horcajuelo de la Sierra;2025-12-05
2025;072;Hoyo de Manzanares;00;Hoyo de Manzanares;2025-09-05
2025;072;Hoyo de Manzanares;00;Hoyo de Manzanares;2025-09-08
2025;073;Humanes de Madrid;00;Humanes de Madrid;2025-08-08
2025;073;Humanes de Madrid;00;Humanes de Madrid;2025-09-22
2025;001;La Acebeda;00;La Acebeda;2025-01-20
2025;001;La Acebeda;00;La Acebeda;2025-09-29
2025;030;La Cabrera;00;La Cabrera;2025-06-13
2025;030;La Cabrera;00;La Cabrera;2025-10-17
2025;138;La Serna del Monte;00;La Serna del Monte;2025-08-28
2025;138;La Serna del Monte;00;La Serna del Monte;2025-08-29
2025;127;Las Rozas de Madrid;00;Las Rozas de Madrid;2025-05-05
2025;127;Las Rozas de Madrid;00;Las Rozas de Madrid;2025-09-29
2025;074;Leganés;00;Leganés;2025-08-14
2025;074;Leganés;00;Leganés;2025-10-10
2025;075;Loeches;00;Loeches;2025-09-11
2025;075;Loeches;00;Loeches;2025-09-12
2025;087;Los Molinos;00;Los Molinos;2025-01-20
2025;087;Los Molinos;00;Los Molinos;2025-09-12
2025;137;Los Santos de la Humosa;00;Los Santos de la Humosa;2025-05-15
2025;137;Los Santos de la Humosa;00;Los Santos de la Humosa;2025-09-08
2025;076;Lozoya;00;Lozoya;2025-08-06
2025;076;Lozoya;00;Lozoya;2025-10-07
2025;901;Lozoyuela-Navas-Sieteiglesias;00;Lozoyuela-Navas-Sieteiglesias;2025-09-22
2025;901;Lozoyuela-Navas-Sieteiglesias;00;Lozoyuela-Navas-Sieteiglesias;2025-12-05
2025;078;Madarcos;00;Madarcos;2025-03-03
2025;078;Madarcos;00;Madarcos;2025-07-28
2025;079;Madrid;00;Madrid;2025-05-15
2025;079;Madrid;00;Madrid;2025-11-10
2025;080;Majadahonda;00;Majadahonda;2025-09-14
2025;080;Majadahonda;00;Majadahonda;2025-11-25
2025;082;Manzanares el Real;00;Manzanares el Real;2025-06-09
2025;082;Manzanares el Real;00;Manzanares el Real;2025-09-15
2025;083;Meco;00;Meco;2025-09-11
2025;083;Meco;00;Meco;2025-09-12
2025;084;Mejorada del Campo;00;Mejorada del Campo;2025-09-22
2025;084;Mejorada del Campo;00;Mejorada del Campo;2025-09-23
2025;085;Miraflores de la Sierra;00;Miraflores de la Sierra;2025-02-03
2025;085;Miraflores de la Sierra;00;Miraflores de la Sierra;2025-05-15
2025;089;Moraleja de Enmedio;00;Moraleja de Enmedio;2025-09-08
2025;089;Moraleja de Enmedio;00;Moraleja de Enmedio;2025-09-09
2025;090;Moralzarzal;00;Moralzarzal;2025-09-18
2025;090;Moralzarzal;00;Moralzarzal;2025-09-19
2025;091;Morata de Tajuña;00;Morata de Tajuña;2025-05-15
2025;091;Morata de Tajuña;00;Morata de Tajuña;2025-09-08
2025;092;Móstoles;00;Móstoles;2025-05-15
2025;092;Móstoles;00;Móstoles;2025-09-12
2025;093;Navacerrada;00;Navacerrada;2025-06-13
2025;093;Navacerrada;00;Navacerrada;2025-09-08
